filename,road_present,loc_r0,loc_r1,loc_r2
input_image0000.png,1,0.4661,0.4802,0.4917
input_image0001.png,1,0.4661,0.4802,0.4917
input_image0002.png,1,0.4661,0.4802,0.4917
input_image0003.png,1,0.4661,0.4802,0.4917
input_image0004.png,1,0.4661,0.4802,0.4917
input_image0005.png,1,0.4661,0.4802,0.4917
input_image0006.png,1,0.4661,0.4802,0.4917
input_image0007.png,1,0.4661,0.4802,0.4917
input_image0008.png,1,0.4661,0.4802,0.4917
input_image0009.png,1,0.4661,0.4802,0.4917
input_image0010.png,1,0.4661,0.4802,0.4917
input_image0011.png,1,0.4661,0.4802,0.4917
input_image0012.png,1,0.4661,0.4802,0.4917
input_image0013.png,1,0.4661,0.4802,0.4917
input_image0014.png,1,0.4661,0.4802,0.4917
input_image0015.png,1,0.4661,0.4802,0.4917
input_image0016.png,1,0.4661,0.4802,0.4917
input_image0017.png,1,0.4661,0.4802,0.4917
input_image0018.png,1,0.4661,0.4802,0.4917
input_image0019.png,1,0.4661,0.4802,0.4917
input_image0020.png,1,0.4661,0.4802,0.4917
input_image0021.png,1,0.4661,0.4802,0.4917
input_image0022.png,1,0.4661,0.4802,0.4917
input_image0023.png,1,0.4661,0.4802,0.4917
input_image0024.png,1,0.4661,0.4802,0.4917
input_image0025.png,1,0.4661,0.4802,0.4917
input_image0026.png,1,0.4661,0.4802,0.4917
input_image0027.png,1,0.4661,0.4802,0.4917
input_image0028.png,1,0.4661,0.4802,0.4917
input_image0029.png,1,0.4661,0.4802,0.4917
input_image0030.png,1,0.4661,0.4802,0.4917
input_image0031.png,1,0.4661,0.4802,0.4917
input_image0032.png,1,0.4661,0.4802,0.4917
input_image0033.png,1,0.4818,0.4859,0.4833
input_image0034.png,1,0.4818,0.4859,0.4818
input_image0035.png,1,0.4688,0.4646,0.4573
input_image0036.png,1,0.4688,0.4604,0.4573
input_image0037.png,1,0.4630,0.4604,0.4620
input_image0038.png,1,0.4849,0.4802,0.4776
input_image0039.png,1,0.4917,0.4906,0.4875
input_image0040.png,1,0.4917,0.4906,0.4875
input_image0041.png,1,0.4833,0.4891,0.4792
input_image0042.png,1,0.4703,0.4688,0.4688
input_image0043.png,1,0.4703,0.4688,0.4688
input_image0044.png,1,0.4703,0.4688,0.4688
input_image0045.png,1,0.4818,0.4833,0.4859
input_image0046.png,1,0.4818,0.4833,0.4859
input_image0047.png,1,0.4818,0.4833,0.4859
input_image0048.png,1,0.4859,0.4833,0.4818
input_image0049.png,1,0.4859,0.4833,0.4818
input_image0050.png,1,0.4859,0.4833,0.4818
input_image0051.png,1,0.4859,0.4833,0.4818
input_image0052.png,1,0.4859,0.4833,0.4818
input_image0053.png,1,0.4859,0.4833,0.4818
input_image0054.png,1,0.4859,0.4833,0.4818
input_image0055.png,1,0.4859,0.4833,0.4818
input_image0056.png,1,0.4932,0.4932,0.4964
input_image0057.png,1,0.4891,0.4891,0.4859
